id_distrito_local,desc_distrito_local,Cantidad_Licencias
1,CENTRO              ,15798
2,ARGANZUELA          ,6335
3,RETIRO              ,4521
4,SALAMANCA           ,11322
5,CHAMARTIN           ,7286
6,TETUAN              ,8323
7,CHAMBERI            ,9414
8,FUENCARRAL-EL PARDO ,6613
9,MONCLOA-ARAVACA     ,4365
10,LATINA              ,6464
11,CARABANCHEL         ,8932
12,USERA               ,4832
13,PUENTE DE VALLECAS  ,7117
14,MORATALAZ           ,2214
15,CIUDAD LINEAL       ,7725
16,HORTALEZA           ,4267
17,VILLAVERDE          ,4837
18,VILLA DE VALLECAS   ,3141
19,VICALVARO           ,1793
20,SAN BLAS-CANILLEJAS ,4956
21,BARAJAS             ,1651
