id_barrio_local,desc_barrio_local,Superficie_ES
-1.2760552570895125,PALACIO             ,"39,579,0710,27,0419,4528,6730,4216,7431,531,8628,2317,6426,43,2441,5624,128,161,4410,297,926,4812,067,0225,9221,2427,844,323,7824,147,0222,3218,1816,221,2412,9627,112,8870,7423,2235,2831,3218,5416,212,7420,029,7241,7619,4430,9646,7114,47,25,5834,3791,7820,528,8224,1216,24,324,689,7221,2412,7530,6645,3568,964,324,3212,7127,736,127,23,786,5812,96622,364,328,6411,1621,5923,42,8828,9884,2435,9246,0212,24249,5227,911,055,763,154030,418,6729,4914,0414,4519,4421,2420,3427,3634,1214,585,762,3811,352,8827,7216,239,787,6412,9679,9240,914,436,515,22455,7627,7219,4422,325,7620,325,929,7211,164,6829,3821,7840,322,8811,1616,743,043,7810,262,3415,8416,381,447,927,027,29,925,926,4818,729,776,128,8227,480,4620,884,322,881,4425,9617,645,767,029,3612,9616,24,323,622,6811,3412,5316,27,0744,611,7"
-1.2743140039177032,EMBAJADORES         ,"6,725,2823,1723,445,7226,4639,614,435,2824,3125,424,6816,3816,6425,927,0239,7814,412,964,6813,525,9218,7211,73,2411,756,8820,888,4630,4216,7445,3620,888,8224,126,489,7256,1629,1615,9516,7415,8418,546,37,6534,1107,0338,167,214,0440,6815,1214,9421,4224,1320,0614,4914,9419,9824,121,636,188,674,3220,5212,614,049,16,121,949,3621,249,7214,0419,4425,9215,34,6811,8819,4412,68211,720,69,3621,066,1214,043,2417,8215,39,3651,2112,611,78,4663,559,726,4815,8413,521,2416,221,2422,3212,9621,249,361,448,825,5818,049,3611,77,927,925,7621,2728,443611,164,6828,2614,4221,2415,842,8820,022,75,6717,6422,6811,7"
-1.272572750745894,CORTES              ,"3,5735,6454666,1217,854,6816,7438,885,764338,885,7669,348,965,5863,143842,4821,9650,9651,8447,248,7238,8545,2536,35,7611,167,5638,8838,384,7662,6212,887,02107,0414,044,3218,723,0814,0493,242,5212,167,023,785,0431,686,4817,2438,884,086,127,564,6815,338,938,8838,8838,8812,0632,43,7810,87,9232,45,924,25262,25"
-1.2708314975740844,JUSTICIA            ,"38,8832,9446,819,445,9532,419,4419,4419,4426,827,924,6816,28,6412,0638,887,0212,2624,1214,0416,389,364,681,925,584934,2266,8811,5217,4627,146,4825,9255,444,761,76,6633,228,750,9713,816,3930,2711,226,6416,927,929,2419,4427,7226,8226,8216,227,726,881,5416,27,924,762,884,7815,349,3638,882,881,4424,484,6816,288,382,887,5627,474256,484,254,327,143,24"
-1.2690902444022751,UNIVERSIDAD         ,"10,2612,0625,9218,7230,6820,029,864,3255,629,3614,414,046,9710,255,444,324,3218,0520,0215,8429,1611,1619,447,24,328,1617,6813,6822,322,882,6611,5212,2470,742,884,085,9538,5428,8418,7218,7212,3925,9232,9465,5211,1617,334,6824,1918,0539,227,2220,5220,0216,6221,2812,613,52,8825,9251,8421,0636,668,169,3610,082,8816,1728,0824,1248,9678,5299394,086,37,0234,225,9225,923014,420,884,6814,454,0812,964,3225,87,8218,724,0813,826,1220,349,013,571,473,573,5718,543,232,043,572,381192,381,1912,6"
-1.2673489912304656,SOL                 ,"14,0413,59871,0539,7898,2243,6493,49809,847,0257,1861,9242,667,922,8819,445,7614,416,3875984,6853,143,6117,281,449,94,689820,822,3218,5490,232,8842,844,6836,7231,68986,5614,9412,9630,611,169,365006,4811,722,7262,8217,644,6824,121317,6427,328,12,8820,8847,318,7211,5231,867,5620,0219,254,6823,2610,822,7316,3626,4677,2218,7220,8815,475,2897,9229,167,289,3625,7424,123,787,566,485,584,684,3214,589,724,322,8852,246,1222,3256,881,467,9236,9110,1730,61,2846,0812,245009,65,8514,044,6873,447,9294,3675549885,8698604,6828,2612,69,725,9511,162,049,9212,7514,0415,4838,0414,046,4852,9211,164,6812,9616,855,9515,1229,1626,549,3615,312,9678,4819,4411,1610,86,729,368,4612,9612,67,772,8814,411,522,384,6820,8813,55,589,3615,355,4415,7612,246,1267,979,197,2729225,7418,7216,387,0212,54,3218,545,767,211,349,3611,225,7616,23,6719,4416,26,48"
-1.1019299399085751,IMPERIAL            ,"47,814,6823,7665,9735,6427,358,879,132791,9325,9224,9314,5821,4215,8411,722,725,1631,3255,087,9432,0425,9246,5313,5273,7264,4265,5310,0825,9245,3638,3532,7618,7219,88,7417,6430,9253,44918,5317,6453,2432,98,9735,74108,5721,0619,8726,8441,44,3224,1356,3223,3212,8126,67"
-1.1001886867367656,ACACIAS             ,"18,990,7212,0622,179,3825,7440,3281,1873,845,2959,9516,3858,3114,418,723910,0818,7214,0453,5884,1328,7122,1525,2725,9216,9119,27101,0635,6447,4742,7722,68105,9738,8732,475,624,5741,0536,8259,5685,7546,1893,960,7869,375,3335,9810,2924,712,6918,5437,4427,6932,9145,595,4105,9754,0931,6839,0637,9945,364610,6458,887235,6443,2325,3136,0715,7213,4425,5615,65,9510,124,8624,319,748,9133,629,733,633,612,8114,0129,712,8119,744,08"
-1.0984474335649563,CHOPERA             ,"17,3612,9637,8727,9394,0716,265,7275,1810,4108,122,3219,4427,3638,8849,0838,8835,6429,4348,88138,8812,9628,0121,9997,4728,6529,227,1819,446,491663,3626,6764,7426,6733,619,7433,639,639,615,9919,74"
-1.0967061803931468,LEGAZPI             ,"5,7612,8164,8967,5813,9860,2710,7145,3651,845,7632151,239,03103,683098,6513,588,555,4940,3744,44105,370,135,769,928,6579,8622,6828,0838,949,723,6222,7545,7630,1538,7544,272,118,4833,626,6719,7426,6726,6719,74"
-1.0949649272213375,DELICIAS            ,"44,6428,731,239,7761,0718,7217,289,7234,347,029,3622,6815,2138,1318,729,3613,1744,8317,3446,828,829,5564,7929,719,8531,864930,246,313,5233,1237,126,2921,3112,241,8513,7161,1612,0625,586,2913,8416,6619,7440,5346,1933,642,2426,6740,5333,626,6723,7919,7429,716,426,67"
-1.0932236740495282,PALOS DE MOGUER     ,"37,417,5836,4542,1219,3568,125,7639,0918,8543,245,4237,5319,4435,141,1616,4838,816,3819,9835,8829,1619,9535,7259,5859,9830,9336,081432,427,617,4744,3518,7216,1538,488,6427,1730,5925,831,8213,1425,9225,664,3233,3330,9623,237,446,4816,212,64,6840,4443,5643,1840,53102,0629,1639,0651,3923,9743,8752,0213,295,3251,3419,4420,754,7520,5233,639,4833,626,6733,619,7447,4635,8426,6754,391133,647,4633,611,7633,626,6718,8633,619,7419,7412,8119,7419,7419,7419,7412,8119,74"
-1.0914824208777187,ATOCHA              ,"22,6835,6425,9225,9223,0440,68"
-0.9278046227276375,PACIFICO            ,"8,648,511,949,889,3619,4416,29,3623,1235,1139,332,463,3759,6913,4811,77,0274,725,9237,6515,7323,9426,6632,5368,574,6225,810,8811,0511,717,6439,0548,6823,7612,7236,7219,4411,2513,723,4643,058,4527,8831,4547,2714,0444,492932,7772,3639,0627,9538,1514,449,7311,92,669,6132,430,6814,044,6826,2419,4427,6524,659,111,0510,86,6333,054,9511,223,012,6422,228,1620,145,8533,5410,215,355,0721,068,3622,521,0627,235,2619,08"
-0.9260633695558281,ADELFAS             ,"28,12122,0545,942,722,796,916,814,8860,2621,0653,217,8596,6618,362,284,2516,3829,2621,64,8637,382,642,42,1"
-0.9243221163840187,ESTRELLA            ,"1322,1443,810,1936,4226,419,83556,8528,8614,3946,3717,346319,5325,516,865,2528,058,825,9216,66"
-0.9225808632122093,IBIZA               ,"46,4923,42546,551,237,8856,120,736,424,1840,823,5716,3817,5750,0521,9643,665,2726,57257,2440,8913,2251,6743,218,9735,224,1860,9947,23660,6943,432,6771,3445,638,5227,3743,640,619,4419,4224,84212,3511,714,758,9243,8434,138,748,1120,8234,9830,7521,0834,1123,2557,975,6841,1218,255,4727,520,3529,528,24186,7516,16845,4434,5627,331,648,1226,134,7454,0620,1521,0617,620,1623,2310,0818,363638,2230,8732,0421,8420,8513,279,1524,9938,8512,224,56,1231,8630,865,4627,25,950,6331,5122,13227,0322,3833,4815,8119,7520,844,022,074,86,320,914,965,9944,55,0637,88,430,84,51,688,43,6"
-0.9208396100403999,LOS JERONIMOS       ,"19,623,1712,66,4834,475,1393,241,4816,2512,885,7668,555,9917,1829,0747,232,4748,621634,5192,8844,715544,88,0637,313232,828,0745,6118,2759,220,9126,635,5317,2817,938137,8"
-0.9190983568685906,NIÑO JESUS          ,"35,4415,7836,7814,0426,0125,9214,9423,06107,5622,3236,91215,23039,2337,9859,2224,1825,530,69205,81017,8110,843,226,120,6221,446,0820,1521,489,7233,856,48"
-0.7536793055466999,RECOLETOS           ,"25,4821,0426,865,0442,8458,7424,811,422,3527,2821,932,884,9410,6438,4328,459,934,33896,2729,448,644,8620,5924,757,24,3247,52267,227,67,214,720,6818,912,1627,987,6250,312429,7447,570,9918,8314,2710,87,028,6411,833,526,265,717,6431,2747,0833,74131,9128,88116,0538,8560,7154,6124,7535,578,6430,2433,3530,7816,227,9111,0621,645,528,467,9919,4428,7513,9610,2689,8525,882,884,0829,741,1241,1919,6214,426,617,0833,4930,2443,7237,2639,3635,4916,7429,8919,8228,5940,0714,64,3221,5257,2222,977,3113,6840,248,5219,0114,9168,4458,320,920,52"
-0.7519380523748905,GOYA                ,"12,4342,4836,242,8416,7426,159,445,8526,6214,5834,147,219,4421,618,3722,422,6223,6745,3621,0654,316,931,0324,1811,489,3628,6631,866,1226,8730,5232,4427,241,9421,9416,3834,4614,0515,7337,4412,5629,3210,518,9132,5926,59,3618,423,87137,6544,651813,3643,230,4360,2259,0927,813,7811,1610,1621,928,1615,8541,8631,9617,8521,42115,38016,7535,2814,4531,631,5437,848,8636,2656,7896,5929,315,296,1221,3830,66325,2813,7330,3858,0815,43,4919,3428,0839,497,9237,845,266,6335,4834,72,3830,1719,2122,5227,246,3614,432114,5638,2536,4321,6432,7613,48"
-0.7501967992030812,FUENTE DEL BERRO    ,"33,656,7620,8810,816,89,4432,4214,6818,0519,9844,5510,3125,273364,3512,0614,946,4842,433,619,868,4533,3119,682,3421,4720,5247,5237,4612,96"
-0.7484555460312718,GUINDALERA          ,"21,0611,167,219,4421,6682,150,242,7619,0821,1631,0517,6228,5816,242,4718,729,3626,2515,434,6853,4831,9242,344,3119,4499,8329,1612,9626,3545,9419,430,7416,3810,9624,158,6418,2120,5219,4815,483,134,3241,0717,0611,5518,619,0870,9213,0964,245,7638,7212,9618,5918,6329,758,410,2624,3722,560,4220,419,7626,5621,25"
-0.7467142928594624,LISTA               ,"13,1313,514,7531,0242,8855,6216,941,5566,9752,2140,1821,6443,5831,3133,9832,5434,3221,663,9584,6764,7543,669,3623,425,222,485533,7342,5729,2510,9214,054544,1829,1622,6227,28,7321,0753,2310,0611,3423,8534,1210,4413,138,2627,939,2315,334,9120,2643,7917,6451,459,279,3631,3249,3724,1213,628,5831,7518,0253,628,3523,222,4430,758,9651,2634,6927,9322,1121,0915,2732,721,819,0421,8527,285,6416,4214,431,225,517,7847,3617,4110,0956,3631,54"
-0.744973039687653,CASTELLANA          ,"21,2979,430,2612,2436,6135,6952,2941,059,249,7511,8819,9814,94108,372745,768,785,581,4422,535,0313,514,8224,7522,4417,319,9770,763,945,1116,0213,194,328,285,7636,916,928,71198,1230,630,6515,6416,747,4611,8818,7226,354,3220,276,9257,6611,05104,283336,5519,9866,8840,1410,385,9416,26,295,676,768,4610,8523,9422,419,3526,9329,6542,26322,142374,9638,2714,910,9115,186,6631,410,66141,1410,0836,047,2837,8532,257,464,042,3835,6439,78"
-0.5795539883657624,EL VISO             ,"12,84412,32143047,2648,3319,441292935,1721,4418,0550,9228,9665,6257,319,981837,1225,3712,96124,1422,6871,217,2874,9296,5749,7710,4792,434229,3124,1219,0519,610,0825,1523,48,6416,7417,0157,1585,177,7454,7517,528,3343,0655,23248133,374,5216,247,2438,87321,3544,7883,5117,9259,9575,2275,0343,1326,8223,0225,231,6225,7716,7432,2521"
-0.577812735193953,PROSPERIDAD         ,"7,8387,69,422,3332,12146,2510,2757,2732,1961,2334,5642,3931,679,5268,26143047,1824,7648,2337,427,788742,2131,1618,5832,0418,4515,7534,56103,258,424,9580,2153,5347,4823,5826,7573,2432,871,116,628,6119,0816,732,2513,456525,0218,5641,8578,549,852,97101,9536,7517,831,0614,2699,4323,045142,637,94105,7925,433,6914,3418,01114,3526,473,823,6844,8844,6143,8233,842534,9431,689,366324,2530,9958,3729,819,747,88149,1338,2535,887,223,616,38"
-0.5760714820221436,CIUDAD JARDIN       ,"9,0599,419,125,7643,0394,3864,777,9217,2894,9982,226,49,7540,0530,2279,3211,8214,04612,699,7233,7716,3849,8663,770,7799,7934,743029,1617,76162,8153,7632,45432,193,2239,0435,2847,6526,7107,6427,8224,7529,9326,445,0637,628,5324,83"
-0.5743302288503342,HISPANOAMERICA      ,"26,730,1332,6716,0544,2817,612,2479,931,8433,225,655,9617,4842,5855,613525,9228,4335,13114,3851,6919,9571,1953,2819,6100,1929,18171,0612,3521,5939,3646,1219,844824,022656,7634,6539,646,2130,0999,8850,8416,0525,2716,767,6525,125,0431,4298,1620,2137,9775,9359,556,176314,5421,8138,992,087,4212,2418,8114,755,7611,1616,210,7637,8815,8414,04768,9445,9662,5347,731,9421,6221,933,616,521,2439,4564,9633,4517,125,9227,923,412,967612,2511,4714,0733,7928,4821,6249,9721,3825,1589,8610,6912,3146,1515,8225,9214,588,5228,1821,2536,9215,66,2479,811,5622,7856,4328,3857,625,8108,713,0928,4741,3638,6122,6722,3735,220,5725,07"
-0.5725889756785248,NUEVA ESPAÑA        ,"48,588167,6165,9151,768,8563,567,3415,2537,4362,8142,6848,2928,0843,7793,252,3396,73112,0428,736,550,4119,6896,9935,215,160,8250,0899,7534,8759,521,7829,747735,972,485,6328,5681,8769,5116,563,0429,394,5740,6983,754,3269,49100,1184,2118,422,6353,940,1458,528,249,9617,530,695,2496,0525,02116,1631,624,5640,472,1732,555,2230,9447,8326,3610,235,6452,8316,7417,848,250,8936,75"
-0.5708477225067156,CASTILLA            ,"35,49,4528,1656,38122,725,5357,5926,414,7274510,4511,8834,583477,1722,2325,5530,525238,8814,4142,821,623,76139,5315,564512,967587,6526,74132,6324,5841,620,614,5824,413,57"
-0.40542867118482484,BELLAS VISTAS       ,"6,144,27,224,125,7616,9112,3778,811,77,215,671845,363615,679,3612,229,111,685,415,366025,92"
-0.40368741801301544,CUATRO CAMINOS      ,"4,233,568,774,3219,446,46143,534,6889,116,943,922,8844,0712,9661,4435,859,3636,4412,967,218,721264,5326,9112,9617,288,7899,9619,6244,7824,4422,3218,7229,163,0419,444,3211,5211,532,76100163,815,484,3239,9725,9238,085,7623,0427,3619,6845,6258,4219,0821,8511,5229,57,249,1352,092,1911,132482421,867,6151,027,4333,3250,1991,6818,33,442,8494,89126,0844,167,149,3634,0729,8736,075914,6211,4316,12147,4257,4347,3171,8422126,51"
-0.4019461648412061,CASTILLEJOS         ,"2,3842,2230,752,9471,4852,9966,7321,699,9998,5346,8726,3963,9940,5646,5361,3749,8921,0617,9730,722466,7216,3812,9642,1233,2138,8612,0914,46,3747,8944,2838,2523,5930,423,0414,496,7514,0716,225,486,27,26,2813,9570,219,4427,6792,8817,424012,1522,144,114,3622,3415,335,2625,5211,2611,6842,7619,4444,6755,6789,4613,2636"
-0.4002049116693967,ALMENARA            ,"27,113,1519,7230,497,655,7653,5632,528,0614,7316,3816,385,767,5668,323,545,0425,5426,8815,7150,084,3212,9532"
-0.39846365849758736,VALDEACEDERAS       ,"2,3432,545,272858,3212,9624,318,7299,7599,3215,374,3221,618,7241,1740,4513,6912,0999,3239,692315,78"
-0.39672240532577796,BERRUGUETE          ,"20,0861,3627,8586,9232,424,340,926,0829,822,885,7622,8617,3729,4829,164929,9913,1111,8146,7211,883,8426,26"
-0.2313033540038873,GAZTAMBIDE          ,"29,7149,535,531013,5132,9429,048,42127,7336,2812,5516,216,1229,626,719,5311,446,9231,7518,5423,3913,4411,1334,561015,537,7712,969,3630,284,9525,210,829,725,3517,1756,722,9820,232219,0725,98102,5212,9634,6334,9514,0414,7323,491612,9628,261243,5217,838,2817,364,68277,235,5934,5525,9621,4229,1840,0427,6150,1627,125,0341,448,4616,823,9439,4820,7431,173224,948,3230,4517,8218,74233,532,340,73175,528,065,9535,2835,69"
-0.22956210083207793,ARAPILES            ,"11,916,5214,5813,3215,4814,0424,6115,230,82214,8815,5544,9316,211,0816,218,3530,3240019,4424,189,8214,9433,84870,0240,1810,2716,7515,633,9914,0416,221,0122,9532,423,92271,4744,5532,412,68,6435,3510,1411,8318,918,52738,3117,1625,0615,8414,4726,3528,6413,12830,6829,318,0371,0924,8538,55521,824,4415,323,2215,371,4418,8646,2411,3467,365439,652,1820,6838,9130,8223,159,3655,9243,229,220,5735,2730,1341,222,556,65,78"
-0.22782084766026853,TRAFALGAR           ,"61,9522,138,9249,8672,5122,6830,095,7644,0626,9650,1519,514,9316,9429,1622,6818,726028,2472,1213,8637,0868,5837,6520,5237,8910,866,423119,0416,3840,7737,4618,7217,6421,4226,3166,7849,6142,2219,211,8853,0837,0722,3723,7622,512,9616,231,647,2533,6910,5612,122,3851,8442,435413,9846,9310,0817,5825,9232,5564,642,0516,2826,7555,9321,9936,726,8421,4237,922,0857,9114,4218,7219,928,5419,1550,6916,8917,0116,3835,8463,5655,8222,0835,6711,8538,6360,939,6214,7112,82,245,417,5816,3214,925,523,042728,618,9622,5724,322,94628,051636,895,7614,049,3618,7833,8442,3727,5517,9730,7926,69817,686,9726,233,621,65,420,1616,8438,8610,2616,239,9631,82"
-0.22607959448845916,ALMAGRO             ,"25,789,4520,5110,5636,5444,225,9228,2639,5561,5942,0614,0452,9812,8712,9733,5417,9818,422251,9116,49329,7223,6313,324,731611,562725,6846,228,0821,426,3229,3219,44629,418,2352,5711,9845,6915,8544,7140,3223,9436,392519,544,0853,119,8934,7829,1617,6919,1587,2166,1514,9734,6624,9826,516,1537,722,9115,9917,192,7649,4526,0154,1224,7223,4634,448,3217,8223,5939,749,1861,58,6911,8829,39,0792,9838,5230,9748,335,646,7122,648,3817,121,7328,8824,8615,648,9635,3118,9224,316,0733,5426,243,2422,0824,7211,8633,1226,313,5922,254,682071,0632,1316,72"
-0.2243383413166498,RIOS ROSAS          ,"6,6836,0848,1513,5410,817,0210,27,0231,3212,3520,7464442759,7120,163320632,499,2112,630,2418,7230,984,452331,68562,3420,6519,4622,6816,3845,5648,622,323229,149,7214,1314,0437,2910,6218,7212,9610,3532,2534,5441,084814,2216,74934,1234,3180,4135,2820,22,13,153,614,411,233,0812,4323,9162,1528,3569,4929,48,5525,3732,1335,7938,516,0818,7538,012627,486,3612,626,621,650,0414,0723,6839,712,7259,6972,383512,7434,3434,315,7552,544417,3514,949,7232,726,8534,49,4113,0214,3625,8628,0418,4413,4436,8935,3256,2921,7123,832,710,4283,230,2617,9426,122,424,333,974022,835,0438,1322,639,0628,9316,87,035,5735,841,238202024,1352,3631,923,0517,5128,635,5373,4414,48"
-0.22259708814484042,VALLEHERMOSO        ,"17,1329,9213,2611,5218,9582,5454,1744,1642,238,73616,5332,5633,7542,6116,1755,8699,5724,310,1413,6818,5313,7723,7611413,23179,5614,0413,056210,3516,29,95650,3817,6427,8315,9225,4167,5635,1222,6851,5177,7293,618,7291,054,6823,0417,0423,1865,9721,2451,1233,4866,4228,3311,6821,0619,827,3616,28,1714,0413,4417,1817,4149,0324,8624,7544,0743,0831,81233,4862,7543,8634,8926,91"
-0.05717803682294974,EL PARDO            ,"95,5815055,6838,884810,0835116,539,5845"
-0.05369553047933099,PEÑA GRANDE         ,"69,1640,4478,26479,768,8275,5269,9312,2424,1913,919,9249,1359,873,5127,86,8847,0252,0231,0425,929,7216,25032,48864,0250,0437,6105,6315,5812,7927,7524,7828,619,3412,969,7214,769,2975,4826,16"
-0.05195427730752161,EL PILAR            ,"22,6836,5428106,575,7648,559,3631,577241,9319,4416,3813,514,1119,4416,6419,4441,72140,8125,9258,3240,63614,9445,3945,3635,9710025,922422,6829,52132,8847,252431,68324225,9259,0438,882715,9322,684719,82120,4293,625,9232144,8765,6457,591432,434,9618,3634,3355,448,115,84203,9835,619,4424,4816,452,668,6413,232,9351,6620,618,2538,9847,9498,214,9347,7737,0615,84"
-0.050213024135712235,LA PAZ              ,"17,5527,0441,83104,822,6833,2464,817,2817,2317,34143,2812,533490,7249,322,3232,649,713,7553,6427,5428,77"
-0.048471770963902865,VALVERDE            ,"3947,6425,9240,7410,289,0453,6739,4963,734,88828,83100632142,1219,4441,438,2332,3242,1214,433,1942,547,734,9619,4444,4371,0817,481825,22726,2516,762,1274,8313,52145,3636,8759,3719,44110,2564,82,1487,3314,1117,3224,8329,430,4224,1236,228,6412,9629,1611,3434,6351,847,644,2515,1629,522,276,3814,0429,7836,919,069,7539,6930,610,9867,6217,528,8347,1821,7731,539,7411,6393,519,2147,2669,5320,3330,610,65169,728,2457,4219,8935,0339,2722,61103,028,596,1344,0745,36"
-0.04673051779209349,MIRASIERRA          ,"22,54,7322,282,6558,32806116,3831,2527,127,234,831,68,8880,7651,968,9678,12500,893,5935,6434,724,382,775,9522,1240,952,58"
-0.04498926462028411,EL GOLOSO           ,"39,1348,616,830,793648,636,822,8662,226,2858,529,1620,354,3616,238,3731,6862,25107,264,3248,44830,7616,1410,8615,1923,073,2426,246,2221,0629,2517,8523,44320,7619,8920,311,5633,9125,5"
0.1169472803579878,CASA DE CAMPO       ,"20,32108,6113,9574,4268,2247,5477,2440,5188,3526,9322,68154,2445,3665,2846,7445,543,1833,5833,4652,7961,4449,1745,362725,9240,3327,781,2115,845,122633,7554,735,27"
0.11868853352979719,ARGUELLES           ,"19,4620,888,8216,793,9530,089,51276,5310,83,32,8812,322,437,863,5823,885,8342,5658,3716,871,5317,289,3717,8289,24,6813,62,825,7630,831369,677,229,773811,528,422,2453,3219,4429,2946,584,0825,3712,969,3694,3213,9410,238,644,3251,4852,9724,6418,8811,842,127,36,310,0811,4316,054,3211,74319,986,828,6858,81,7629,2624,422,544,1422,829,2611,5919,896,8625,217,258,829227,9857,5128,651,448,959,726,884,6822,510,9215,1227,542,345,5824,8425,95,78"
0.12042978670160656,CIUDAD UNIVERSITARIA,"6,525690,9548,5962,0315,8125,928,8241,323,7642,2129,867,7418,1927,6157,2235,1125,9256,452813,5"
0.12217103987341593,VALDEZARZA          ,"15,7551,8430,3916,134,6829,5264,818,3616,915,9629,1619,2528,6225,818,927,8124,4249,4527,548,6713,72"
0.12391229304522532,VALDEMARIN          ,"20,3343,5268,34"
0.12739479938884407,ARAVACA             ,"30,631,3249,62819,4422,6116,382127,9915,639,7845,3654,0661,5543,4320,626,939,9271,2739,86"
0.29107259753892534,LOS CARMENES        ,"8,3827,7221,2477,7666,5834,2973,2527,5649,7327,326,43"
0.29281385071073474,PUERTA DEL ANGEL    ,"13,6712,927,512,754,3263,114104,1437519,3519,4416,6316,18,49,3639,9949,0630,1512,9639,619,449,3610,818,920,237,245,796,214,3258,3219,4412,1524,942,7510,963,6840,59,963,354,81,4523,289,7227,830,18345,9538,8825,9216,143,53"
0.29455510388254413,LUCERO              ,"8,1623,12431,427,223,8653,2824,6634,5643,5629,4932,7215019,4428,4416,777,0229,729,5235,3727,1660,822,59,1816,416,833,0636,633033,755,063645,31"
0.2962963570543535,ALUCHE              ,"78,0470,216,28,0547,0498,3480,6450,8812,9813,527,6222,472,6491,3715,121,0615,920,432,7629,184,277,899,977,0827,665,0964,842,6455,685,7646,0815,1221,0644,6445,632,7619,959,3628,9274,862,747,219,4430,4529,1453,94997,0953,9452,7622,1114,5668,0646,9831,864,831,044,0810,98803,9255,857,623,8757,3356,768,885,1330,7227,615,7764,514,416,910,3532,335,3821,18108,3840,648,4511,811,731613,655,7614,0485,524,84106,0544,4511,5623,8644,0911,1634,18"
0.2980376102261629,CAMPAMENTO          ,"15,4887,4217,875,8845,1249,6845,0512,963930,844,868,25"
0.2997788633979722,CUATRO VIENTOS      ,"838,05"
0.3015201165697816,LAS AGUILAS         ,"36,936,6138373525,633,392032,1425,225,0231,260,6328,1511,1645,3617,345028,3816,229,16317220,46453,632,425,9228,5627,182625,92453221,625,2620,8838,8832,9421,2136,4153,7326,246039,64248,454,2935,3143,520,1648,5654,461,386575,9829,1625,1921,7131,214046,082436,589416,5219,5356,1630,639,0241,5826,15"
0.46519791471986294,COMILLAS            ,"22,81914,256,376,16,465,419,8439,6965,014,3212,968,648,0616,2912,088,649,367,222,511,166,6226,1818,724,3216,9122,0321,4233,8524,4414,766,4612,963,576,6937,14"
0.4669391678916723,OPAÑEL              ,"45,287,216,5614,2281,4181,0638,8836,7298,3213,9425,749,727,273,1553,130,2412,969,7232,541,4712,099,722,8818,727,0232,3431,14156,196,4858,3216,386,4878,984,766,4888,7449,2125,9243,241,138,8865,6235,0610,0822,4112,96"
0.4686804210634817,SAN ISIDRO          ,"47,712,7466,9364,84,3219,4414,0438,8834,6527,5432,0110,25,7618,729,3623,1818,7219,0414,9438,724,122,737,1437,474020,72325,0228,8"
0.470421674235291,VISTA ALEGRE        ,"95,9521,069,363,833,188,6429,1614,048,7689,114,1883,436,0816,4742,088,6425,7422,3214,0411,78,6414,0426,4659,11204511,3451,8425,0212,9627,92616,0932,857,225,9219,9840,0114,0424,1210,0873,82,8810,0814,415,35,7622,6819,9918,7239,2450,2226,4617,2818,5432,3845,1711,99,547,1119,2629,1613,6525,925,765,766,321,2526,6411,279,3626,6413,269,952,6427,245,957,1445"
0.4721629274071004,PUERTA BONITA       ,"9,3616,6238,5751,330,2439,0612,9963,5452,89,3633,8456,8844,2828,0831,8617,9414,0486,0817,46"
0.47390418057890976,BUENAVISTA          ,"20,8813,1130,0224,4829,37,7411,743,5241,9441,455,5433,3783,8420,2320,948,3113,58112,9669,3532,1131,577,743,7732,3948,616,499,3664,822,687,0214,0448,69,3621,0612,9676,0134,9948,658,329,1838,8821,739,885,7638,8852,9849,2614,447,7354,1535,6423105,8521,66,4840,19"
0.47564543375071916,ABRANTES            ,"20,827,42753,6464,829,168,6438,8838,8839,9830,0634,3618,7251,8464,871,2847,1339,9932,467,9629,0612,9617,0545,6125,92"
